controle_review_longo,data,nota,Notas
"O desempenho sem dúvidas está muito a frente dos outros. A interface do sistema é muito boa, fluída. Quem tá buscando muitas opções de aplicativos, não recomendo. Em plena era dos serviços de streaming, o FireTV não pega alguns dos principais: HBOmax, GLOBOPLAY, FOX... o que é um absurdo. A integração com a Alexa tem falhas, mesmo pareando o FireTV com um echodot, as vezes não consigo dar os comandos, e ela não liga/desliga a MINHA tv. O aparelho está sempre atualizado, uma vez ou outra chega atualização do sistema. Sinto que o controle é um pouco frágil, não parece ser robusto, a impressão é que na primeira queda ele se quebra, também senti que o controle faz alguns barulhos quando você pega nele, parece que tem alguma parte de plástico folgado na parte da tampa traseira, eu resolvi isso colocando um pedaço de bolsa em cima das pilhas e fechando.
Os botões da Disney, Amazon music+video, são totalmente inúteis, eles poderiam ser substituídos pelo Youtube e Spotify pois seria muita mais útil. O botão da TV do lado dos volumes também é totalmente DESNECESSÁRIO já que faz a mesma coisa do botão HOME. No mais, é um bom aparelho, mas não se iluda, um aparelho que não tem o serviço de STREAMING mais usado do pais ( globoplay ) pode não funcionar pra você!",2021-07-24,4,Positivo
"Não recomendo. Me disseram em pergunta que eu fiz antes de comprar que era fácil transmitir, mas não é. Ele só transmite com facilidade app Amazon prime, Netflix e YouTube. Globo play e Disney+ não reproduz. Dependendo da situação vc precisa usar outro app para espelhar, como por exemplo Air screen. Ou seja, para meu caso, não serviu. Eu estava com Chrome cast emprestado, e comprei um forte stick pq achei que ia funcionar fácil também, mas me decepcionei. Até trocaria se fosse possível. Aceito sugestões",2021-07-17,2,Negativo
"Eu tinha a versão lite e era muito lento mesmo com uma internet de 350 megas, muito lento ao ponto de ser irritante até mesmo pra usar o youtube e comprei este achando que teria uma grande melhora oque na verdade não foi. As vezes o controle desconecta e conecta rápido como podem ver no vídeo.
O controle é ótimo, responde rápido os comandos porém com o tempo, a tampa das pilhas fica frágil e saindo atoa, mesmo com todo cuidado do mundo com o tempo a tampa fica saindo sozinha.
Mas mesmo assim com todas as funções que ele oferece, ainda vale a pena.
Mas poderiam melhorar o desempenho e a qualidade da tampa das pilhas.",2021-10-30,4,Positivo
"Quando comprei o lite, já me apaixonei. Mas senti falta de universalizar os controles... E tandam ! Dias depois lançaram essa incrível e melhorada versão. Aí conprei o fire tv stick com controle de tv integrado. É um máximo. Fácil de usar. Eu sou apaixonada por tecnologia. Se existe, pq não usar, não é mesmo.
Mas assim como vi o pessoal reclamando que não se dá com o Globo play ele não funciona com o Deezer de jeito nenhum. Primeira vez que instalei o app ele dava dados incorretos de tudo quanto é jeito. Entrei em contato com o suporte da deezer eles pediram pra eu tentar um outro procedimento, fiz.. só que agora quando vou tentar abrir o app no fire tv ele fica carregando pra sempre, e não abre de jeito nenhum. Acredito que não seja um problema do fire stick, pois li muitoa outros app que funcionam perfeitamente só deezer e Globo play que necas de pitibiriba. Recalcados.
Resumindo. Eu sou apaixonada pela Alexa, pelos dispositivos da Amazon ... e esse dispositivo só parece que ouviu eu dizer o que precisava de novo e puffs.. criaram. Então acredito que logo os outros problemas se resolvem tbm.
By: Nicoli..",2021-05-22,5,Positivo
"O Fire TV Stick foi a solução perfeita para minha TV antiga que não é smart, de fato deu uma sobrevida a agora tem um mundo de possibilidades. Nunca imaginei que iria funcionar tão bem, realmente me surpreendi com o dispositivo, o sistema é muito fluido, responsivo e não trava, a Alexa pode fazer inúmeras coisas, desde comandos simples até pesquisas, brincadeiras, entre outros, só pedir que ela irá atender, o controle é pequeno mas vem com todos os botões essenciais. Enfim, estou muito satisfeito com o produto, vale o investimento, sem dúvidas.",2021-09-17,5,Positivo
"Já deu erro em uma semana, não consigo usar. Mesmo funcionando, Não conecta HBO Max é globo play. Instalei aplicativos e no mesmo dia clonaram cartão de crédito, algo que nunca havia acontecido. Me arrependi de não ter pego a mais em conta.",2021-07-28,1,Negativo
"Comprei o aparaelho por causa que minha smartv é antiga e não conseguia instalar HBO Max, ao ligar o Fire Stick e tentar instalar tive a infelicidade de não encontrar o app na loja e pesquisando na internet descubro que NO BRASIL, não funciona, em outros paises sim, aqui não roda mais, nem mesmo utilizando o ""jeitinho"" brasileiro. Desconsideração com o consumidor.",2021-12-24,3,Positivo
"fiquei com receio de comprar e não ser compatível com nenhuma das minhas TVs (Samsung e LG), não tive nenhum problema pluguei segui as etapas e pronto, não tive dificuldade de instalar os aplicativos que eu queria, Globoplay, Spotify, Telecine, Netflix, My family Familia, Disney+. O único problema foi que não consegui fazer o volume funcionar no controle remoto.",2021-06-20,4,Positivo
"Já tinha o Mi Stick da Xiaomi e o Fire Stick Lite e resolvi comprar esse modelo e achei muito bom pelos novos botões no controle remoto e por ter maior capacidade de processamento. Mas o que mais gostei foi que tenho um Home Theater Samsung e outro Sony ambos com entradas e saída HDMI e usava o Mi Stick e o Fire Tv Stick Lite e o som saía apenas sério, mas com o esse Fire Stick o som sai 5.1 e Prime Vídeo, Netflix, Disney+ , Star+ ficaram um show, resultado, vou vender o Mi Stick e o Fire Stick Lite e pegar o Fire Stick 4K e ver se tem o mesmo recurso caso contrário devolvo e pego outro Fire Stick. Uma boa dica é: procure um Home Theater na Olx com entradas HDMI + 1 Fire Stick Tv + 1 Projetor com entrada HDMI + alguma assinatura de Streaming e vc terá um cinema em sua casa. Meu setup: Fire Stick Tv + Home Theater Samsung HT C5500/ Sony BDV E280 + Projetor Full HD Blitzwolf BW VP10 projetando 115 polegadas, um verdadeiro cinema em casa gastando muito pouco.",2021-12-21,5,Positivo
"Esse dispositivo é essencial para quem tem um tv mais antiga onde os sistema próprio(nativo da tv) já não atende mais. Foi o meu caso, uma LG 55'' os apps travão ou demora a responder. O Fire TV é muito fluído responde rápido e é completo, todos os app de streaming da atualidade disponível (com resalva do HBO MAX, né senhora Amazon). A conexão via bluetooth é de alta performace não sentir nenhuma perda na qualidade da imagem ou transmissão.",2021-10-02,5,Positivo
"Dispositivo prático e muito útil. Com ele eu concentro os meus principais aplicativos de streaming com qualidade e total integração com alexa. Fácil de instalar, o fire stick tv consegue me entregar tudo o que eu tenho disponível nos catálogos das assinaturas com a capacidade de enviar qualidade dolby atmos ao meu dispositivo de som mesmo não sendo a versão 4K, mas... É, nem tudo são flores. Só não ganhou nota 5 porque não consegue qualidade total de som (o dolby atmos) nas plataformas Disney+ e, pasmem, prime video. O porquê eu não sei. Consegui rodar no ótimo catálogo dolby atmos da netflix e no bom catálogo da HBO max, mas na plataforma da fabricante não. A Disney+ também não disponibiliza nessa versão Full HD a revolucionária tecnologia de imersão.
Outra coisa que achei estranha foi a não capacidade completa de alimentação em minha barra de som diretamente. Mesmo a conexão USB própria para isso, o dispositivo pediu uma alimentação na fonte de tomada (tanto na usb da barra de som quanto na entrada do projetor). Resolvi com certa facilidade, mas deixa o dispositivo um pouquinho menos portátil.
Fora esses pequenos entraves o dispositivo te entrega qualidade em baixo preço. Adorei a compra e espero que a amazon conserte logo logo em suas próximas atualizações de firmware.",2021-08-04,4,Positivo
"Primeiramente é importante destacar que o desempenho do sistema operacional é bem aquém do que eu esperava. Tive essa percepção de avaliações de gerações anteiores feitas por canais de tecnologia no youtube, é perceptível como nessa última versão existem mais travamentos e lentidão. Outro ponto que também merece ser dito é que os botões para abrir os apps diretamente no controle remoto (netflix, prime video disney + e amazon music) simplesmente não cumprem a sua função, ao pressioná-los, a televisão inexplicavelmente muda a entrada HDMI e direciona para uma porta sem sinal, sendo necessário pegar o controle nativo da televisão pra recolocar na entrada HDMI em que está espetado o Fire stick. Acredito que quando houver atualizações esse problema será corrigido, mas minha função aqui é reclamar mesmo.",2021-05-17,4,Positivo
"Produto top.
Algumas teclas, tais como, Netflix e Prime, estão desligando a TV. Talvez possa ser alguma configuração que ainda não tive tempo para pesquisar, porém para mim não é um incômodo, pois utilizo mais a Alexa, para entrar nesses aplicativos do que as teclas de atalho.
Outra questão muito significativa é que a Amazon poderia incluir no kit o adaptador de internet cabeada, pois, em que pese ter um bom sinal de wiffi, para não ter travamento ou lentidão durante a utilização, optei por comprar esse item que custou R$ 110,00 na época.",2021-05-23,5,Positivo
Meu único apontamento fica por conta da construção do controle remoto que fica rangendo ao ser pressionado. Dá para perceber que a espessura do plástico é um pouco mais fina do que deveria e provavelmente é isso que faz o barulhinho chato. De resto o aparelho é muito bom e atende muito bem a necessidade.,2021-06-11,5,Positivo
"ODIEI DEMAIS! Sinceramente, é inaceitável um produto que foi lançado recentemente não ter como instalar apps como HBO Max e Globo Play (e devem ter outros que não sei pq não uso). Eu comprei pra por na TV da minha mãe, e que decepção! Eu queria mesmo era devolver, mas como meu irmão tem um mi stick e ele só usa para Disney+, ela preferiu só trocar pelo da TV dele pra não ter o transtorno de devolver, esperar vir o outro e tal. Enfim, péssimo! Sei que tem formas de instalar por outros aplicativos, mas como não é pela appstore oficial dá muito trabalho, tendo que passar por mil caminhos, configurações e apps duvidosos. Simplesmente desisti e estava decidida a devolver, pq se não tivesssemos um mi stick pra substituir não serviria para o objetivo que era rodar principalmente esses dois apps. Decepção define.",2021-09-25,1,Negativo
"O equipamento é bom, eu tenho dificuldade quando desligo a TV e a mesma esta em outra porta, ao ligar o FireTV não aciona como deveria, preciso tirar e por na tomada, sobre o funcionamento não tenho queixas, responde bem aos comandos da Alexa, bem rápido, e integrado com alguns outros Streaming's, não tenho outras plataformas e não fico horas em frente a TV então pra mim é ótimo, sempre me diverte.",2021-10-28,4,Positivo
"Não tem muito o que dizer. É só plugar e usar. O sistema é bem fluído, o launcher é dinâmico e para o seu propósito, é perfeito.
A memória interna pode parecer pouca se vc quiser instalar MUITA coisa, mas o sistema do Fire TV te da a opção de expandir a memória interna usando um cabo OTG e um pendrive.
Minha unica crítica é com relação a Amazon liberar vários apps lá na gringa e pra nós, nada. O HBO Max por exemplo. Pra vc ter, ou vc baixa e instala um APK de tv box ou precisa fazer um cambalacho mudando idioma da sua conta na Amazon e cadastrando um endereço dos EUA pra só assim conseguir baixar o HBO Max do próprio Fire TV",2022-01-24,5,Positivo
"É bom, mas muito dificil de instalar. Até achei que estava com problema, pois simplesmente não saía o som. Eu já tinha até feito o pedido de devolução, quando o atendente da Amazon me sugeriu que poderia ser apenas configuração. Entrei em contato pelo chat, e passei quase 2 horas em contato com eles tentando resolver os diversos problemas: som, controle que não funcionava todas as teclas, etc. No fim, estava tudo funcionando. Depois, desconectei da televisão e conectei no projetor, os problemas voltaram. Dessa vez fiz uma ligação para Amazon, eles acessaram remotamente o meu dispositivo (o que prova que eles podem ver e acessar todos os nossos dados), e o próprio atendente ajustou as configurações para saída de som. Mas o controle continua sem funcionar os botões de volume - viajei e não tive tempo ainda de ligar novamente para Amazon para configurar tudo de novo. E porque o controle de volume não funciona, a alexa manda o comando de aumentar e diminuir o volume, mas nada acontece.
Eu tinha outro dispositivo do mesmo estilo, mas de outra marca (xiaomi) que foi muito mais fácil de configurar - apenas pluguei no projetor e tudo já estava funcionando.",2022-01-07,4,Positivo
"Pensei 1, 2, mil vezes antes de comprar. Comprei e estou satisfeitíssima. Na verdade comprei mais um, agora tenho dois deles. Tenho algumas TVs que não são smart e comprei por causa delas, porém ando usando também numa smart que eu tenho porque é mais simples e agradável a interface do Fire Stick e a conexão com minha internet é melhor nele. A imagem é ótima, o som é ótimo. Ele conecta com a Alexa, dá pra ligar e desligar a TV. Não testei outras funcionalidades ainda. Vem com pilhas. O meu é Full HD, pois minhas TVs não são 4K. Da pra baixar vários apps.
Compre sem medo, vale a pena.",2021-11-22,5,Positivo
"A instalação é ridiculamente fácil! O FireTV Stick faz tudo sozinho, inclusive já se conecta à rede Wi-Fi automaticamente (humilhando o Chromecast, nesse quesito). Eu comprei especialmente para poder projetar na TV as lives do YouTube e do Facebook, mas ganhei muito mais do que isso! Tem vários aplicativos de streaming, como Netflix, Disney+, Star+, TED e muito mais! Seria legal se o dispositivo estivesse integrado com a Alexa da minha EchoShow, por exemplo, de modo que fosse possível controlar a TV acionando a Alexa da Echo, porém não parece ser possível. É necessário apertar um botão da Alexa no controle remoto do FireTV Stick para dar os comandos, e não funcionam todos os comandos. Por exemplo, não é possível acionar o timer para ela parar de tocar músicas do Spotify. Precisa melhorar nisso. Falta também uma integração direta com outros aplicativos, como Globoplay, Combate, etc. Até dá para projetar na TV esse tipo de aplicativo, mas usando App de terceiros, o que dá mais trabalho. Mas, a despeito desses detalhes, eu super recomendo o equipamento!",2021-10-05,5,Positivo
"O equipamento é muito fácil de instalar, você configura seguido passos simples na inicialização. Adquiri pois possuo uma TV excelente, mas que não recebe mais atualizações e não possui suporte para Amazon Prime Video, Paramount +, DIRECTVGO... e mostrou-se a solução perfeita. Muito rápido, estável e com imagem excelente. As funcionalidades da Alexa estão presentes, com comandos de voz via controle, o que facilita tudo. O controle assume o comando do volume e de liga/desliga da TV, então nem preciso mais usar o controle original. A interface é prática e você pode instalar alguns Apps via APK, caso não encontre na loja oficial (HBO Max, Globo Play).",2021-08-04,5,Positivo
"Primeiro ponto positivo é em relação a entrega, ele lançou no dia 5 e dia 7 de manhã já estava na minha casa, rapido demais!!! Em relação ao produto, super facil de instalar, ele se conectou a minha Alexa e logo em seguida com a minha conta, simples assim!! apenas algumas configurações a ajustar. Outro ponto é em relação a compatibilidade com a tv, pois não preciso mais utilizar o controle original dela. É como falei, caso tenha a Alexa, voce pode dar comandos de voz, como entrar no aplicativo ou ligar e desligar a TV, perfeito!!!",2021-05-08,5,Positivo
"Aparelho muito bonito, tem bastante funções que nos cativa e mantém o interesse, porém não funciona as funções indicadas como diferencial no NOVO FIRE TV STICK. O botão de aumentar e abaixar não funcionam, o ligar/desligar a tv também não, Alexa nem sempre atende o comando de voz ficando muito complexa/conturbada a comunicação com a ferramenta. Vi algumas boas avaliações na versão LITE e esperava ter uma experiência tão boa quanto ou até mais satisfatória com relação as funções que essa versão promete, mas infelizmente está sendo uma experiência péssima!",2021-05-13,3,Positivo
"O produto chegou antes do prazo, veio muito bem embalado, a embalagem não veio amassada, tudo perfeito.
O firetv é de fácil configuração o único ponto negativo é que ele não controla minha tv (Philco), os botões de volume e de ligar/desligar não funcionan na tv, até aparece a marca da tv, mas não é compatível, mas consegui contornar este problema conectando a tv na alexanpelo bluetooth e é só abaixar o volume da Alexa quando necessário, quanto desligar ela desliga normalmente por comando de voz, só o controle que realmente não é compatível.",2021-05-21,5,Positivo
"Como eu disse, economizei 3,500 reais, pois estava quando comorando uma smartTV atual, iria desembolsar >3,500 reais.
Minha TV é uma LG séries 42LA... 3D, a resolução é 1080p 60Hz, tenho a 9 anos e a imagem é excepcional, enfin pesquisei muito sobre o Fire e comprei na promoção. Não me arrempo nem um pouco, muito pelo contrário, estou muito satidfeito.
A instalação é muito fácil, basta pluga-lo em uma porta HDMI e o seu cabo de força é USB, podendo ser ligado com uma fonte que aconpanha o produto, ou no meu caso, a porta USB da TV foi o suficiente.
A interação com a Alexa é imprecionante. Como o FireStick comsegue controlar a TV pelo HDMI, no meio de um programa de televisão vc pode interagir com a alexa dizendo o que vc quer assistir ou continuar assistindo... Ele simplismente pula pro HDMI que esta instalado, iniciando o video desejado. O som, Dolby é excepcional, funcionou perfeitamente com o meu Home Teacher, e a minha TV, agora não tenho necessidade de comprar nenhuma TV do mercado, tenho todos os conteúdos em um só aparelho, pequeno e compacto.",2021-11-23,5,Positivo
"Comprei esse dispositivo achando que seria uma forma de dar autonomia para o meu pai (que perdeu a visão recentemente) , para que ele pudesse acessar sozinho os canais que ele gosta, mas, infelizmente o Globoplay não está disponível (e os métodos ""alternativos"" para instalá-lo não resolvem o problema, pois a Alexa não localiza o aplicativo por comando de voz, é como se ele não tivesse sido instalado) e o comando de voz foi o diferencial para eu buscar esse aparelho.
Também enfrento problemas com os canais religiosos no YouTube (Rede Vida e TV Aparecida), que mesmo eu montando rotinas para abri-los, essas rotinas funcionam só qd querem, sem falar que frequentemente o Youtube pede para confirmar o usuário e a rotina fica perdida nessa página irritante.
Tendo tentando de todas as formas encontrar maneiras de contornar essas limitações, mas não estou tendo sucesso. Provavelmente, vou devolver o aparelho.
Triste.",2021-06-03,3,Positivo
"Não consigo fazer o app da Disney plus funcionar, nem nesse modelo novo nem no antigo.",2021-05-06,3,Positivo
"O produto atendeu todas as expectativas e um pouco mais. Instalação abolutamente tranquila e rápida. É excelente, controle remoto de fácil uso. Teclas boas, muito fácil para digitar qualquer busca (diferente do controle da TV). Além disso, disponibiliza o aplicativo downloader e o que não tem já instalado ou pré-instalado, com esta opção fica muito fácil achar apps que a gente costuma usar no celular. Já baixei o globoplay e outros. Minha Smart TV perdeu o wifi. Comprei um Chromecast. Que nada, este fire stick é muito melhor, superior em todos os sentidos. Para quem está em dúvida, não deixe de comprar. Adorei!",2021-12-21,5,Positivo
"Chegou ontem e já utilizei bastante. A interface é intuitiva, porém se você não tiver tanta habilidade pode ter dificuldade pra instalar alguns apps.
A tomada toma bastante espaço também, reserve uma exclusiva pra o firestick.
Caso sua TV não tenha HDMI lateral, o adaptador que vem no kit não será suficiente, você irá precisar de um joelho HDMI pra não danificar o fire tv stick.",2021-07-28,5,Positivo
"Recebido com susto, pois a caixa veio amassada... Muito provavelmente porquê a embalagem de transporte foi um saco de papel, que não protege muito bem o conteúdo. Fica o alerta pra logística da Amazon. Dito isso, o produto está funcionando perfeitamente. Estou testando no tempo de 30 dias. A única reclamação fica pela falta dos aplicativos globoplay e HBOMax. Quando estes serão inclusos de modo oficial? Outro ponto é o espelhamento de tela, por que smartphones Motorola não tem acesso a essa funcionalidade no Amazon fire stick?",2022-01-18,4,Positivo
"Infelizmente nao consegui parear o controle à TV Philco, outras marcas (como uma AOC mais antiga) tive êxito, mas precisava que se conectasse à Philco (para usar o botao de desligar e volume).
Fora isso, produto excelente. Rápida entrada nos apps e fácil configuração.",2021-05-10,4,Positivo
